Depth,Floating Long Eccentricity, Anchoring to D.b.ash,Anchoring to D.e. ash,Anchoring to C.v. ash,Anchoring to S.d. ash,Anchoring to S.p. ash (nominal age model)
2084.760744,1815.2082609652,84331.1304383562,84233.1413742949,84092.9366039072,84351.1222720891,84272.6203004982
2084.791222,1818.02643219805,84333.948609589,84235.9595455278,84095.7547751401,84353.9404433219,84275.438471731
2084.821701,1820.84469589668,84336.7668732877,84238.7778092264,84098.5730388387,84356.7587070205,84278.2567354296
2084.852179,1823.66286712957,84339.5850445205,84241.5959804593,84101.3912100716,84359.5768782534,84281.0749066625
2084.882658,1826.4811308282,84342.4033082192,84244.4142441579,84104.2094737702,84362.3951419521,84283.8931703612
2084.913136,1829.29930206109,84345.2214794521,84247.2324153908,84107.0276450031,84365.213313185,84286.7113415941
2084.943615,1832.11756575972,84348.0397431507,84250.0506790895,84109.8459087017,84368.0315768836,84289.5296052927
2084.974093,1834.93573699257,84350.8579143835,84252.8688503223,84112.6640799346,84370.8497481164,84292.3477765255
2085.004572,1837.7540006912,84353.6761780822,84255.6871140209,84115.4823436332,84373.6680118151,84295.1660402242
2085.03505,1840.57217192409,84356.4943493151,84258.5052852538,84118.3005148661,84376.4861830479,84297.984211457
2085.065529,1843.39043562272,84359.3126130137,84261.3235489525,84121.1187785647,84379.3044467466,84300.8024751557
2085.096007,1846.20860685561,84362.1307842466,84264.1417201853,84123.9369497976,84382.1226179795,84303.6206463886
2085.126486,1849.02687055424,84364.9490479452,84266.959983884,84126.7552134963,84384.9408816781,84306.4389100872
2085.156964,1851.84504178709,84367.7672191781,84269.7781551168,84129.5733847291,84387.7590529109,84309.2570813201
2085.187443,1854.66330548572,84370.5854828767,84272.5964188154,84132.3916484277,84390.5773166096,84312.0753450187
2085.217921,1857.48147671861,84373.4036541096,84275.4145900483,84135.2098196606,84393.3954878425,84314.8935162516
2085.2484,1860.29974041724,84376.2219178082,84278.232853747,84138.0280833593,84396.2137515411,84317.7117799502
2085.278878,1863.11791165013,84379.0400890411,84281.0510249799,84140.8462545922,84399.031922774,84320.5299511831
2085.309357,1865.93617534876,84381.8583527397,84283.8692886785,84143.6645182908,84401.8501864726,84323.3482148817
2085.339835,1868.75434658165,84384.6765239726,84286.6874599114,84146.4826895237,84404.6683577055,84326.1663861146
2085.370314,1871.57261028024,84387.4947876712,84289.50572361,84149.3009532223,84407.4866214041,84328.9846498132
2085.400792,1874.39078151313,84390.3129589041,84292.3238948429,84152.1191244551,84410.304792637,84331.8028210461
2085.431271,1877.20904521176,84393.1312226027,84295.1421585415,84154.9373881538,84413.1230563356,84334.6210847447
2085.461749,1880.02721644465,84395.9493938356,84297.9603297744,84157.7555593867,84415.9412275685,84337.4392559776
2085.492228,1882.84548014328,84398.7676575343,84300.778593473,84160.5738230853,84418.7594912671,84340.2575196762
2085.522706,1885.66365137617,84401.5858287671,84303.5967647059,84163.3919943182,84421.5776625,84343.0756909091
2085.553185,1888.4819150748,84404.4040924658,84306.4150284045,84166.2102580168,84424.3959261987,84345.8939546078
2085.583664,1891.30017877343,84407.2223561644,84309.2332921032,84169.0285217154,84427.2141898973,84348.7122183064
2085.614142,1894.11835000628,84410.0405273973,84312.051463336,84171.8466929483,84430.0323611301,84351.5303895392
2085.644621,1896.93661370491,84412.8587910959,84314.8697270346,84174.6649566469,84432.8506248288,84354.3486532379
2085.675099,1899.7547849378,84415.6769623288,84317.6878982675,84177.4831278798,84435.6687960617,84357.1668244708
2085.705578,1902.57304863643,84418.4952260274,84320.5061619662,84180.3013915785,84438.4870597603,84359.9850881694
2085.736056,1905.39121986932,84421.3133972603,84323.3243331991,84183.1195628113,84441.3052309932,84362.8032594023
2085.766535,1908.20948356795,84424.1316609589,84326.1425968977,84185.93782651,84444.1234946918,84365.6215231009
2085.797013,1911.0276548008,84426.9498321918,84328.9607681305,84188.7559977428,84446.9416659247,84368.4396943338
2085.827492,1913.84591849943,84429.7680958904,84331.7790318292,84191.5742614414,84449.7599296233,84371.2579580324
2085.85797,1916.66408973232,84432.5862671233,84334.597203062,84194.3924326743,84452.5781008562,84374.0761292653
2085.888449,1919.48235343095,84435.4045308219,84337.4154667607,84197.210696373,84455.3963645548,84376.8943929639
2085.918927,1922.30052466384,84438.2227020548,84340.2336379936,84200.0288676059,84458.2145357877,84379.7125641968
2085.949406,1925.11878836247,84441.0409657534,84343.0519016922,84202.8471313045,84461.0327994863,84382.5308278954
2085.979884,1927.93695959532,84443.8591369863,84345.8700729251,84205.6653025373,84463.8509707192,84385.3489991283
2086.010363,1930.75522329395,84446.6774006849,84348.6883366237,84208.483566236,84466.6692344178,84388.1672628269
2086.040841,1933.57339452684,84449.4955719178,84351.5065078566,84211.3017374689,84469.4874056507,84390.9854340598
2086.07132,1936.39165822547,84452.3138356164,84354.3247715552,84214.1200011675,84472.3056693493,84393.8036977584
2086.101798,1939.20982945836,84455.1320068493,84357.1429427881,84216.9381724004,84475.1238405822,84396.6218689913
2086.132277,1942.02809315699,84457.950270548,84359.9612064867,84219.756436099,84477.9421042809,84399.44013269
