"Composite depth","Magnetic susceptibility (MS)",,"Composite depth","Total reflectance (L*)"
"(m)","(SI)",,"(mm)","(%)"
173.67,6.15,,173.67,56.26
173.74,7.73,,173.74,55.62
173.81,7.15,,173.81,54.64
173.94,7.8,,173.94,55.7
174.01,5.78,,174.01,57.21
174.09,6.85,,174.09,56.86
174.16,4.53,,174.16,58.7
174.3,6.2,,174.3,57.48
174.39,7.15,,174.39,58.14
174.5,9.05,,174.5,56.41
174.58,7.68,,174.58,56.26
174.67,6.78,,174.67,57.09
174.79,8.08,,174.79,54.44
174.9,4.98,,174.9,54
174.99,7.63,,174.99,56.33
175.14,7.98,,175.14,56.9
175.26,9.68,,175.26,55.95
175.38,7.28,,175.38,58.34
175.49,9.03,,175.49,61.76
175.64,4.55,,175.64,57.3
175.73,6.15,,175.73,54.08
175.81,7.5,,175.81,56.95
175.94,6.18,,175.94,59.05
176.03,7,,176.03,54.99
176.11,9.3,,176.11,56.16
176.18,9.05,,176.18,56.38
176.3,5.25,,176.3,54.24
176.37,7.18,,176.37,57.61
176.44,4.5,,176.44,55.72
176.5,5.38,,176.5,54.71
176.57,9.13,,176.57,58.01
176.72,8.73,,176.72,55.24
176.84,10.18,,176.84,60.03
176.94,6.8,,176.94,57.01
177.05,6.58,,177.05,55.27
177.19,7.48,,177.19,57.45
177.24,5.23,,177.24,54.74
177.3,6.73,,177.3,58.2
177.41,4.23,,177.41,56.04
177.47,7.65,,177.47,53.53
177.53,7.53,,177.53,58.52
177.59,3.93,,177.59,54.08
177.68,7,,177.68,56.19
177.72,5.85,,177.72,59.86
177.79,8.25,,177.79,57.29
177.87,5.25,,177.87,53.99
177.93,7.03,,177.93,58.13
177.98,6.7,,177.98,57.02
178.08,7.78,,178.08,58.2
178.17,6.45,,178.17,56.87
178.23,6.18,,178.23,53.09
178.33,8.95,,178.33,56.66
178.38,8.75,,178.38,58.53
178.49,5.6,,178.49,53.72
178.58,6.38,,178.58,54.85
178.67,7.03,,178.67,53.11
178.74,7.48,,178.74,57.61
178.88,6.83,,178.88,56.98
178.92,6.85,,178.92,57.2
178.97,8.03,,178.97,55.72
179.03,6.55,,179.03,57.75
179.15,6.65,,179.15,58.43
179.21,7.23,,179.21,58.27
179.28,8.65,,179.28,57.62
179.37,7.2,,179.37,58.14
179.47,7.98,,179.47,55.81
179.51,9.15,,179.51,55.33
179.55,6.35,,179.55,58.73
179.59,7.25,,179.59,56.17
179.7,4.7,,179.7,55.88
179.79,7.85,,179.79,55.05
179.88,6.6,,179.88,60.28
179.99,9.35,,179.99,58.14
180.04,9.43,,180.04,59.25
180.09,7.85,,180.09,57.95
180.14,8.43,,180.14,60.02
180.24,6.7,,180.24,57.03
180.29,5.93,,180.29,57.4
180.34,7.78,,180.34,62.6
180.45,5.4,,180.45,58.09
180.5,7.4,,180.5,55.89
180.54,8.58,,180.54,55.29
180.63,7.75,,180.63,60.03
180.69,5.65,,180.69,57.35
180.73,8.43,,180.73,54.82
180.84,7.78,,180.84,61.75
180.89,8.35,,180.89,57.96
180.94,7.55,,180.94,60.67
181.05,10.03,,181.05,54.54
181.1,6.68,,181.1,52.83
181.15,7.28,,181.15,52.91
181.2,5.78,,181.2,56.96
181.31,8.75,,181.31,53.05
181.36,8.33,,181.36,55.23
181.41,8.48,,181.41,55.36
181.52,4.6,,181.52,57.08
181.57,6.63,,181.57,57.81
181.64,5,,181.64,54.61
181.7,7.58,,181.7,53.3
181.81,9.1,,181.81,53.83
181.88,7,,181.88,51.75
181.93,8.73,,181.93,54.36
181.99,7.98,,181.99,56.1
182.12,4.08,,182.12,56.89
182.18,4.08,,182.18,54.06
182.24,6.4,,182.24,53.08
182.31,5.03,,182.31,52.71
182.44,5.8,,182.44,54.17
182.52,9.75,,182.52,55.78
182.59,5.48,,182.59,56.08
182.66,6.68,,182.66,56.05
182.72,5.35,,182.72,57.4
182.86,5.55,,182.86,50.75
182.92,6.23,,182.92,55.66
183,4.53,,183,52.37
183.08,4.07,,183.08,51.78
183.17,9.82,,183.17,57.51
183.21,7.5,,183.21,56.76
183.25,6.25,,183.25,54.58
183.29,8.87,,183.29,56.16
183.41,8.22,,183.41,51.85
183.47,6.12,,183.47,55.6
183.54,9.9,,183.54,55.88
183.68,6.63,,183.68,58.08
183.74,10.63,,183.74,59.57
183.79,8.45,,183.79,57.22
183.83,4.85,,183.83,61.44
183.88,5.9,,183.88,54.54
183.97,6.45,,183.97,58.47
184.02,6.95,,184.02,60.24
184.06,7.45,,184.06,54.89
184.1,6.12,,184.1,58.81
184.19,8.32,,184.19,60.57
