proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.077552083333345,1462.8339843750002,-16.8,65900,67346.033984375,0.05503054054839562,-0.2446291983381582,0.09902100332163821,0.91086680504472,1.9233669202782508
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.168811342592605,1465.6339843750002,-16.8,65900,67348.833984375,-0.3812033510556499,-0.24250769201997205,0.13792458977066355,0.761407079846319,1.8885243255005757
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.26007060185186,1468.4339843750001,-16.8,65900,67351.633984375,-0.36698855412701265,-0.23996823621677418,0.1744938140526612,0.6178024488421585,1.837119924090483
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.351329861111125,1471.2339843750003,-16.8,65900,67354.43398437499,0.14678529776677174,-0.2370128354391426,0.2076983927404381,0.48370171994710487,1.7679526137782628
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.44258912037038,1474.0339843750003,-16.8,65900,67357.233984375,0.23275619819418025,-0.23364429848811955,0.23655066305128314,0.3626078230948854,1.6870441380127894
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.53384837962964,1476.8339843750002,-16.8,65900,67360.033984375,-0.13640771699479565,-0.22986623806375495,0.2601360748648628,0.25777015748282095,1.5888823561345802
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.6251076388889,1479.6339843750002,-16.8,65900,67362.833984375,-0.32304539133956617,-0.22568306871736032,0.2776430442243025,0.17207918361126873,1.484144332030772
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.71636689814815,1482.4339843750001,-16.8,65900,67365.633984375,-0.4932177637997862,-0.22110000314254033,0.2883911864577439,0.10796672650603423,1.3643818496967688
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.80762615740742,1485.2339843750003,-16.8,65900,67368.43398437499,-0.6586401795842256,-0.21612304680376393,0.2918569522547185,0.06731543818517971,1.2406599426197817
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.89888541666667,1488.0339843750003,-16.8,65900,67371.233984375,-0.39883495938250263,-0.2107589909049312,0.2876957289061992,0.05138073020823586,1.1090258699074442
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,55.99014467592593,1490.8339843750002,-16.8,65900,67374.033984375,0.3823079815643583,-0.2050154037041147,0.27575954154225485,0.06072823076796596,0.9731926202915498
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.08140393518519,1493.6339843750002,-16.8,65900,67376.833984375,0.8871132403083795,-0.19890062018435573,0.2561095944398326,0.09518944926644857,0.8317846833878011
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,56.172663194444446,1496.4339843750001,-16.8,65900,67379.633984375,0.8603318061200276,-0.19242373009410524,0.22902302797786903,0.15383785294603947,0.6831605359172042
