depth,magsus,reflec,d13C_VPDB,comment
2940,12.7,46.34845,NA,NA
2951,14.4,45.14995,NA,NA
2963,9.8,46.29455,1.5057309999999973,NA
2975,10.5,43.63105,NA,NA
2987,14.3,46.8735,NA,NA
3000.5,13.7,44.6987,1.705968800000008,NA
3015.5,10.4,48.03335,NA,NA
3029.625,15,46.3625,NA,NA
3042.875,14.4,49.47055,1.5335328000000032,NA
3056.125,16,42.9016,NA,NA
3069.375,10.7,46.54735,NA,NA
3081.25,11.4,48.9467,1.7100223000000057,NA
3091.75,13.5,46.16355,NA,NA
3104.625,11.9,49.24105,NA,NA
3119.875,12,48.26845,1.7417142108046235,NA
3135.125,10.4,50.08555,NA,NA
3150.375,10.6,47.276,NA,NA
3163.5,9.8,49.9587,1.6588163999999992,NA
3174.5,10,52.4283,NA,NA
3184.833,12,42.68825,NA,NA
3194.5,10.1,47.84455,1.751554662683624,NA
3204.167,15.1,49.29,NA,NA
3219,10.9,47.9255,NA,NA
3233.5,6.9,55.7313,1.7463027494753867,NA
3252.5,10.1,47.25175,NA,NA
3267.375,8.8,48.22235,NA,NA
3278.125,10.7,47.6831,1.6607466189422837,NA
3288.875,13.2,43.56105,NA,NA
3299.625,11.8,41.763,NA,NA
3310,10.4,46.9844,NA,NA
3320,10.6,45.6255,1.8468214000000032,NA
3330,14.6,39.39315,NA,NA
3342.375,13.9,44.231467,NA,NA
3357.125,14,44.83085,1.248168284642361,NA
3371.875,15.7,45.0293,NA,NA
3386.625,14.8,42.57485,NA,NA
3398.5,11.6,47.8297,NA,NA
3407.5,11.7,43.0102,1.7572163047320792,NA
3416.5,14.7,44.555,NA,NA
3428.5,15.9,45.14265,NA,NA
3443.5,18.1,44.82045,1.2743155000000002,NA
3458.5,17,45.3531,NA,NA
3473.5,13.6,46.2992,NA,NA
3484.833,11.5,49.56575,NA,NA
3492.5,10.6,37.552567,1.5240895999999964,NA
3500.167,12.4,46.2168,NA,NA
3512.5,13.9,45.35225,NA,NA
3529.5,17.4,44.45895,1.281971257605953,NA
3546.5,15,42.7613,NA,NA
3563.5,16.7,47.06545,NA,NA
3578,11.8,46.51145,NA,NA
3590,10.2,39.7759,1.4498949000000039,NA
3602,16.9,42.85692,NA,NA
3614.9,17.9,42.850725,NA,NA
3628.7,15,41.612575,NA,NA
3642.5,14.6,46.2547,1.458675300000003,NA
3656.3,17.2,42.64385,NA,NA
3670.1,11.9,44.44395,NA,NA
3683.75,14.1,47.57405,1.1480274000000037,NA
3697.25,14.1,46.0852,NA,NA
3710.1,19.2,43.7409,NA,NA
3722.3,21,42.916225,NA,NA
3734.5,21.9,44.48535,1.2609471181045322,NA
3746.7,16,48.570067,NA,NA
3758.9,16.1,46.22835,NA,NA
3769.333,17.9,47.36115,NA,NA
3778,14.3,48.3842,1.5846341000000024,NA
3786.667,15.5,46.3087,NA,NA
3798.4,15.9,45.506825,NA,NA
3813.2,18.5,45.1837,NA,NA
3828,15.7,44.5301,0.7296497501669515,NA
3842.8,9.1,45.977725,NA,NA
3857.6,15,46.6929,NA,NA
3870,17.7,45.00875,NA,NA
3880,11.5,42.092925,1.6075552000000002,NA
3890,14.6,47.765325,NA,NA
3901.5,16.2,46.03275,NA,NA
3914.5,16.6,47.9638,NA,NA
3927.5,16.3,48.54372,0.9889576506202999,NA
3940.5,20,44.12308,NA,NA
3953.5,11.4,42.77835,NA,NA
3962.5,11.5,46.374075,NA,NA
3971.5,16.6,41.394267,1.4807905000000048,NA
3986,16.4,40.74305,NA,NA
4002,20.3,45.1398,1.1193178999999986,NA
4018,8.8,49.63944,NA,NA
4034,13.5,43.954975,NA,NA
4045.833,11.1,48.3697,NA,NA
4053.5,8.1,47.46895,1.7109306188020028,NA
4061.167,9,47.744,NA,NA
4071.875,11.9,51.02035,NA,NA
4085.625,8.6,46.4034,1.6457180323656502,NA
4099.375,10.4,47.49766,NA,NA
4113.125,14.7,44.88755,NA,NA
4125,10.5,47.94216,1.6018404711446692,NA
4135,10.7,46.844733,NA,NA
4142.667,13.7,45.0202,NA,NA
4148,14.6,45.876425,1.650448825679625,NA
4153.333,11.5,47.860333,NA,NA
4159,9.4,45.30304,1.3369088005473238,NA
4165,9,42.6027,NA,NA
4174.5,9.2,48.79365,NA,NA
4187.5,13,45.1959,NA,NA
4200.5,9.5,47.90505,1.4887361753379835,NA
4213.5,11.7,50.68765,NA,NA
4228,11.6,47.42725,NA,NA
4241,10.5,51.2454,1.5107616811842455,NA
4257,8.1,50.63365,NA,NA
4271.25,10.4,46.19685,NA,NA
4283.75,13.1,44.92085,1.3921358036628142,NA
4296.25,12.4,52.5232,NA,NA
4308.75,18.3,47.399475,NA,NA
4318.667,7.9,51.25085,NA,NA
4326,14.2,45.3319,1.6131915412344746,NA
4333.333,10.9,45.7477,NA,NA
4343.25,14.9,51.30805,NA,NA
4355.75,10.6,47.969,1.6812842466046938,NA
4368.25,17,48.35765,NA,NA
4380.75,9.2,42.06485,NA,NA
4391,7.8,48.22985,NA,NA
4399,8.4,52.681,1.7841808000000015,NA
4407,12.8,47.5525,NA,NA
4417.625,14.1,44.4567,NA,NA
4430.875,11.7,40.9935,1.6970734000000007,NA
4444.125,12.9,45.1989,NA,NA
4457.375,17.1,47.0945,NA,NA
4469.333,12,49.7988,NA,NA
4480,11.6,49.3526,1.3693472,NA
4490.667,12.5,48.1307,NA,NA
4500.125,12.4,49.10545,NA,NA
4508.375,11.9,48.81245,1.544954764223199,NA
4516.625,16,48.09795,NA,NA
4524.875,10.9,48.7788,NA,NA
4537.25,8.9,50.9441,1.8886511242696713,NA
4553.75,11.5,48.85155,NA,NA
4567,14,47.7605,NA,NA
4577,12.1,49.3605,NA,NA
4587,15,44.66925,1.578072000000006,NA
4594.5,18.5,47.97045,NA,NA
4599.5,13.6,47.96985,NA,NA
4604.5,12.4,52.52265,1.8530677373459312,NA
4609.5,12,44.24405,NA,NA
4616,9.2,46.6463,NA,NA
4624,15.1,45.98485,NA,NA
4632,19.6,47.74965,1.6671297342931055,NA
4640,14.8,47.3188,NA,NA
4648,14.8,45.2985,NA,NA
4657,9.5,52.4161,1.711987200000003,NA
4666,15.1,47.2586,NA,NA
4674,15.8,48.51645,NA,NA
4682,19.5,47.876325,1.4826896000000005,NA
4690,11.7,48.3233,NA,NA
4698,12.7,47.558825,NA,NA
4704.5,10.9,45.77305,1.3285583999999986,NA
4712,15,49.31365,NA,NA
4722,14.4,43.192475,1.6353053469147163,NA
4732,15.8,48.672,NA,NA
4742,14.2,48.0355,NA,NA
